id,site_ref,schedule_week,schedule_date,job,job_suffix,item,qty,remain_qty,ship_date,eta_date,line,head,cycle_time_h,work_hours_h,start_time,end_time,is_delayed,delay_days,risk_level,line_source,job_type,skip_reason,job_status,tested_qty,wo_total,print_status,unit_price,sales_amount,manual_lock,other_remark,created_at,updated_at
81657,410,2026W27,2026-07-01,J000001785-0000,0000,0150-12465,1,0,2026-05-12,,Line 06,4,0.400300,0.01,2026-07-01 09:00:00,2026-07-01 09:01:00,1,190.5,风险,系统自动分配,普通工单,,进行中,1,1,打印成功,53.57,53.57,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81255,410,2026W27,2026-07-01,PA00000799-0000,0000,03-387274-05-TEX,1,0,2026-05-13,,,0,0.377600,0.00,2026-07-01 00:00:00,2026-07-01 00:00:00,0,0.0,,,已完成,已完成,已完成,1,1,打印成功,88.55,88.55,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81377,410,2026W27,2026-07-01,J000001545-0000,0000,LA683-109075-223,4,4,2026-06-01,,Line 02,4,0.935900,0.94,2026-07-01 09:00:00,2026-07-01 09:56:00,1,29.5,风险,系统自动分配,普通工单,,待排产,0,4,打印成功,316.72,1266.88,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81658,410,2026W27,2026-07-01,J000002019-0000,0000,853-267001-301-PLS,1,0,2026-06-01,,Line 06,4,0.150400,0.01,2026-07-01 09:01:00,2026-07-01 09:02:00,1,170.5,风险,系统自动分配,普通工单,,进行中,1,1,打印成功,29.92,29.92,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81256,410,2026W27,2026-07-01,PA00000962-0000,0000,LB853-051669-021,5,5,2026-06-09,2027-01-18,Assembly-1,2,1.428500,3.57,2029-04-13 18:27:00,2029-04-14 11:01:00,1,1039.6,风险,固定线体,主工单,,待排产,0,5,打印成功,738.92,3694.60,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81268,410,2026W27,2026-07-01,J000001675-0000,0000,0150-25034-ICH,4,4,2026-06-12,2026-06-30,Line 01,4,0.130800,0.13,2026-07-01 09:00:00,2026-07-01 09:08:00,1,18.5,风险,系统自动分配,普通工单,,待排产,0,4,打印成功,187.54,750.16,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81528,410,2026W27,2026-07-01,J000002356-0000,0000,0140-32202-ICH,4,4,2026-06-12,,Line 04,4,1.107600,1.11,2026-07-01 09:00:00,2026-07-01 10:07:00,1,18.5,风险,系统自动分配,普通工单,,待排产,0,4,打印成功,304.73,1218.92,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81269,410,2026W27,2026-07-01,J000003119-0000,0000,853-A75961-002-ICH,1,1,2026-06-12,2026-06-30,Line 01,4,0.148000,0.04,2026-07-01 09:08:00,2026-07-01 09:10:00,1,18.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,33.17,33.17,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81270,410,2026W27,2026-07-01,J000003209-0000,0000,0140-39369-ICH,40,40,2026-06-12,2026-06-30,Line 01,4,0.298800,2.99,2026-07-01 09:10:00,2026-07-01 12:09:00,1,18.6,风险,系统自动分配,普通工单,,待排产,0,40,打印成功,30.47,1218.80,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81271,410,2026W27,2026-07-01,J000001230-0000,0000,0140-19189-ICH,5,5,2026-06-15,2026-06-30,Line 01,4,0.117647,0.15,2026-07-01 12:09:00,2026-07-01 12:18:00,1,15.6,风险,系统自动分配,普通工单,,待排产,0,5,未记录,70.43,352.15,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81598,410,2026W27,2026-07-01,J000001651-0000,0000,0140-18325-ICH,10,10,2026-06-15,2026-06-30,Line 05,4,4.705882,11.76,2026-07-01 09:00:00,2026-07-02 09:46:00,1,16.5,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,73.18,731.80,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81378,410,2026W27,2026-07-01,J000003121-0000,0000,853-A75961-004-ICH,1,1,2026-06-15,2026-06-30,Line 02,4,0.116800,0.03,2026-07-01 09:56:00,2026-07-01 09:58:00,1,15.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,27.54,27.54,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81732,410,2026W27,2026-07-01,J000000972-0000,0000,LBCAL-109616-011,10,10,2026-06-16,2026-06-30,Line 07,3,0.032100,0.11,2026-07-01 10:36:00,2026-07-01 10:43:00,1,14.6,风险,系统自动分配,普通工单,,待排产,0,10,未记录,31.00,310.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81379,410,2026W27,2026-07-01,J000000986-0000,0000,LBHRN-109616-B001,15,15,2026-06-16,2026-06-30,Line 02,4,0.304300,1.14,2026-07-01 09:58:00,2026-07-01 11:06:00,1,14.6,风险,系统自动分配,普通工单,,待排产,0,15,未记录,195.59,2933.85,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81728,410,2026W27,2026-07-01,J000001246-0000,0000,LBCAL-109616-011,10,10,2026-06-16,2026-06-30,Line 07,3,0.032100,0.11,2026-07-01 09:00:00,2026-07-01 09:07:00,1,14.5,风险,系统自动分配,普通工单,,待排产,0,10,未记录,31.00,310.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81731,410,2026W27,2026-07-01,J000001693-0000,0000,853-A78757-001-ICH,1,1,2026-06-16,2026-06-30,Line 07,3,0.844235,0.28,2026-07-01 10:19:00,2026-07-01 10:36:00,1,14.6,风险,系统自动分配,普通工单,,待排产,0,1,未记录,135.99,135.99,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81729,410,2026W27,2026-07-01,J000001777-0000,0000,853-A78757-001-ICH,1,1,2026-06-16,2026-06-30,Line 07,3,0.844235,0.28,2026-07-01 09:07:00,2026-07-01 09:24:00,1,14.5,风险,系统自动分配,普通工单,,待排产,0,1,打印成功,135.99,135.99,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81733,410,2026W27,2026-07-01,J000002212-0000,0000,853-227067-011-ICH,5,5,2026-06-16,2026-07-06,Line 07,3,0.108800,0.18,2026-07-06 09:00:00,2026-07-06 09:11:00,1,19.5,风险,系统自动分配,普通工单,,待排产,0,5,打印成功,333.00,1665.00,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81599,410,2026W27,2026-07-01,J000002257-0000,0000,LA853-258817-002,10,5,2026-06-16,2026-06-30,Line 05,4,0.267100,0.33,2026-07-02 09:46:00,2026-07-02 10:06:00,1,156.6,风险,系统自动分配,普通工单,,进行中,5,10,打印成功,26.58,265.80,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81730,410,2026W27,2026-07-01,J000002258-0000,0000,LA853-258818-001,10,10,2026-06-16,2026-06-30,Line 07,3,0.272556,0.91,2026-07-01 09:24:00,2026-07-01 10:19:00,1,14.6,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,16.07,160.70,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81380,410,2026W27,2026-07-01,PA00000405-0000,0000,LB853-265650-104,7,7,2026-06-16,2026-06-30,Line 02,4,1.535200,2.69,2026-07-01 11:06:00,2026-07-01 13:47:00,1,14.7,风险,系统自动分配,普通工单,,待排产,0,7,打印成功,146.88,1028.16,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81275,410,2026W27,2026-07-01,J000002231-0000,0000,03-453060-05-TEX,10,10,2026-06-17,2026-06-30,Line 01,4,0.047200,0.12,2026-07-01 13:07:00,2026-07-01 13:14:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,10,未记录,24.89,248.90,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81278,410,2026W27,2026-07-01,J000002452-0000,0000,03-396634-00-TEX,10,10,2026-06-17,,Line 01,4,0.118400,0.30,2026-07-01 13:51:00,2026-07-01 14:09:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,37.39,373.90,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81446,410,2026W27,2026-07-01,J000002516-0000,0000,LB853-247147-001,77,77,2026-06-17,2026-07-10,Line 03,4,0.067200,1.29,2026-07-10 09:00:00,2026-07-10 10:17:00,1,22.6,风险,系统自动分配,普通工单,,待排产,0,77,打印成功,5.94,457.38,,,2026-07-01 13:22:59,2026-07-01 13:22:59
81272,410,2026W27,2026-07-01,J000002613-0000,0000,853-251238-002-TEX,10,10,2026-06-17,2026-06-30,Line 01,4,0.259200,0.65,2026-07-01 12:18:00,2026-07-01 12:57:00,1,13.7,风险,系统自动分配,普通工单,,待排产,0,10,打印成功,32.99,329.90,,,2026-07-01 13:22:59,2026-07-01 13:22:59
